| id | neighbourhood | neighbourhood_group | latitude | longitude | price |
| 250007 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.49512 | 13.35251 | 72 |
| 250253 | Otto-Suhr-Allee | Charlottenburg-Wilm. | 52.51792 | 13.30729 | 127 |
| 250687 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48471 | 13.35982 | 80 |
| 250704 | Marienfelde | Tempelhof - Schöneberg | 52.42191 | 13.37495 | 71 |
| 250707 | Otto-Suhr-Allee | Charlottenburg-Wilm. | 52.51792 | 13.30729 | 111 |
| 250729 | Friedenau | Tempelhof - Schöneberg | 52.47013 | 13.34851 | 112 |
| 250753 | Tiergarten Süd | Mitte | 52.49953 | 13.36546 | 127 |
| 250871 | Schöneberg-Süd | Tempelhof - Schöneberg | 52.48538 | 13.34681 | 82 |
| 251406 | Brunnenstr. Süd | Mitte | 52.53703 | 13.39735 | 136 |
| 251423 | Brunnenstr. Nord | Mitte | 52.53867 | 13.39712 | 127 |
| 251486 | Brunnenstr. Süd | Mitte | 52.53667 | 13.39505 | 104 |
| 251493 | Brunnenstr. Nord | Mitte | 52.53881 | 13.39654 | 127 |
| 251984 | Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 52.5008 | 13.38847 | 89 |
| 254788 | Südliche Friedrichstadt | Friedrichshain-Kreuzberg | 52.49738 | 13.41322 | 55 |
| 255557 | Frankfurter Allee Süd FK | Friedrichshain-Kreuzberg | 52.50786 | 13.46703 | 81 |
| 255722 | Tempelhofer Vorstadt | Friedrichshain-Kreuzberg | 52.49707 | 13.3849 | 68 |
| 257373 | Prenzlauer Berg Südwest | Pankow | 52.53949 | 13.41615 | 135 |
| 264459 | Prenzlauer Berg Südwest | Pankow | 52.53237 | 13.41548 | 137 |
| 265354 | Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 52.50977 | 13.44602 | 148 |
| 265389 | Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 52.50977 | 13.44602 | 77 |
| 265394 | Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 52.50977 | 13.44602 | 112 |
| 265402 | Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 52.50977 | 13.44602 | 18 |
| 265408 | Karl-Marx-Allee-Süd | Friedrichshain-Kreuzberg | 52.50977 | 13.44602 | 20 |
| 266086 | Baumschulenweg | Treptow - Köpenick | 52.44987 | 13.48777 | 105 |
| 267764 | Brunnenstr. Süd | Mitte | 52.53646 | 13.39858 | 157 |
| 267951 | Helmholtzplatz | Pankow | 52.54424 | 13.42139 | 108 |
| 268974 | Rudow | Neukölln | 52.41975 | 13.48541 | 90 |
| 273011 | Halensee | Charlottenburg-Wilm. | 52.49614 | 13.29501 | 144 |
| 302167 | Prenzlauer Berg Süd | Pankow | 52.53538 | 13.4296 | 74 |
| 303097 | Prenzlauer Berg Süd | Pankow | 52.52987 | 13.4268 | 68 |
| 304904 | Prenzlauer Berg Nordwest | Pankow | 52.55381 | 13.40553 | 35 |
| 306312 | Prenzlauer Berg Südwest | Pankow | 52.53961 | 13.41951 | 172 |
| 311703 | Schöneberg-Nord | Tempelhof - Schöneberg | 52.496707916259766 | 13.356289863586426 | 306 |
