id	descriptive_name	neighbourhood	price	days	total_price
1344849481548213760	Beautiful Bright Flat Near River	Moabit Ost	206	3	618
693862220904540813	Berlin Flower's | One-bedroom Suite XL	Alexanderplatz	204	3	612
1462257889143986108	unique 125 sqm Studio	Alexanderplatz	203	3	609
51913751	Gemütliche Wohnung in Berlin-Mitte zu vermieten.	Alexanderplatz	200	3	600
1273726314915598217	Penthouse-Wohnung berlin Mitte	Brunnenstr. Süd	200	3	600
11267258	GetInBerlin am Checkpoint Charlie	Regierungsviertel	199	3	597
28534680	SCHØNES L (fjord hotel berlin)	Tiergarten Süd	199	3	597
1352039624689882643	Studio for 2 at Potsdamer Platz	Tiergarten Süd	199	3	597
693941289687409048	Berlin Muellerstr. | Suite XL with sofa bed	Brunnenstr. Nord	198	3	594
863579088600371861	Tempelhof, Altbau Charme, Erdgeschoss	Wedding Zentrum	198	3	594
1384761585748541651	Design Apartment Berlin	Wedding Zentrum	198	3	594
30334384	6-bed room/shared bathroom nr.15	Alexanderplatz	197	3	591
45475523	Numa | XL Studio with Kitchen & Balcony	Alexanderplatz	194	3	582
3242577	Magnificent turn of century flat (legal)	Wedding Zentrum	190	3	570
50996738	62m² One-Bedroom Apartment with Balcony in Mitte	Brunnenstr. Süd	188	3	564
27011856	Double Room | BIG MAMA Berlin	Osloer Straße	188	3	564
12375222	Refugium am Engelbecken	Alexanderplatz	185	3	555
28510393	CALMA M (CALMA Berlin Mitte)	Alexanderplatz	185	3	555
1187852331224100834	Holiday 33 Apartment N – 3 Rooms & 2 Bathrooms	Moabit West	185	3	555
970903636669265872	Berlin-Mitte Appartment	Regierungsviertel	184	3	552
28535346	SCHØNES M (fjord hotel berlin)	Tiergarten Süd	184	3	552
1379759790076809671	AR City Hotel Berlin-6pax room	Osloer Straße	181	3	543
24689619	1 Bedroom Apartment	Tiergarten Süd	181	3	543
45475252	Numa | Large Studio w/ Kitchen in Berlin Mitte	Alexanderplatz	180	3	540
1101617227673514538	Mitte: new flat/en suite bath	Alexanderplatz	180	3	540
29509859	Studio Apartment	Alexanderplatz	178	3	534
28510664	CALMA S (CALMA Berlin Mitte)	Alexanderplatz	176	3	528
1440502476826786100	Generator Mitte - Family Room for 4 - Ensuite	Alexanderplatz	176	3	528
1115843453878616278	Central City 3/3	Alexanderplatz	175	3	525
1415168972920776878	Nikolai Residence - Triple Room	Alexanderplatz	175	3	525
28535860	SCHØNES S (fjord hotel berlin)	Tiergarten Süd	175	3	525
28510951	CALMA XS (CALMA Berlin Mitte)	Alexanderplatz	171	3	513
1425566213914240917	Studio in zentraler Lage	Alexanderplatz	171	3	513
1381436987487866357	Exclusive Oasis | Berlin City	Tiergarten Süd	171	3	513
15153401	6-Bedroom mixed, Ensuite , TV No. 10	Alexanderplatz	170	3	510
982258947782075499	Espacioso departamento en Berlín	Osloer Straße	169	3	507
1098549072889880800	2 rooms at the river bank in the heart of old city	Alexanderplatz	168	3	504
1345624920002813076	Numa | Large Room with Bathtub in Berlin Mitte	Alexanderplatz	165	3	495
1415168971014587597	Nikolai Residence - Double Room	Alexanderplatz	165	3	495
30917638	4-Bedroom mixed, Ensuite , TV No. 13	Alexanderplatz	163	3	489
888298691845183664	Studio&Kitchen with Central spot in Mitte, Berlin	Alexanderplatz	163	3	489
1211496216732706035	Numa | Large Studio w/ Kitchenette & Extra Bed	Alexanderplatz	163	3	489
1244746829166950069	Great apartment	Parkviertel	163	3	489
17220997	Nettes City-Apartment 8 am Checkpoint Charlie	Regierungsviertel	163	3	489
29696183	6-bed room/shared bathroom nr.13	Alexanderplatz	162	3	486
53391764	Catalonia Berlin Mitte 4* - Double room	Alexanderplatz	162	3	486
777464227577518716	Wohnen im Herzen von Berlin	Brunnenstr. Süd	160	3	480
866625733095743088	Wohnung im Herzen Berlins	Regierungsviertel	160	3	480
15363472	Single Room Ensuite / TV	Alexanderplatz	159	3	477
1441284292210683640	Generator Mitte - Family Room for 4 - Ensuite	Alexanderplatz	159	3	477
